timestamp,protocol,time_total
1752543103,http2,0.000296
1752543103,http3,0.006119
1752543103,http2,0.000085
1752543103,http3,0.005689
1752543103,http2,0.000085
1752543103,http3,0.005688
1752543103,http2,0.000118
1752543103,http3,0.005695
1752543103,http2,0.000090
1752543103,http3,0.005961
1752543103,http2,0.000139
1752543103,http3,0.006651
1752543103,http2,0.000093
1752543103,http3,0.006123
1752543103,http2,0.000085
1752543103,http3,0.006353
1752543103,http2,0.000088
1752543104,http3,0.006701
1752543104,http2,0.000084
1752543104,http3,0.006647
